ID,Type,SKU,Name,Published,Is featured?,Visibility in catalogue,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,Attribute 10 name,Attribute 10 value(s),Attribute 10 visible,Attribute 10 global,Attribute 11 name,Attribute 11 value(s),Attribute 11 visible,Attribute 11 global,Attribute 12 name,Attribute 12 value(s),Attribute 12 visible,Attribute 12 global,Attribute 13 name,Attribute 13 value(s),Attribute 13 visible,Attribute 13 global,Attribute 14 name,Attribute 14 value(s),Attribute 14 visible,Attribute 14 global,Attribute 15 name,Attribute 15 value(s),Attribute 15 visible,Attribute 15 global,Attribute 16 name,Attribute 16 value(s),Attribute 16 visible,Attribute 16 global,Attribute 17 name,Attribute 17 value(s),Attribute 17 visible,Attribute 17 global,Attribute 18 name,Attribute 18 value(s),Attribute 18 visible,Attribute 18 global,Attribute 19 name,Attribute 19 value(s),Attribute 19 visible,Attribute 19 global,Attribute 20 name,Attribute 20 value(s),Attribute 20 visible,Attribute 20 global,Attribute 21 name,Attribute 21 value(s),Attribute 21 visible,Attribute 21 global,Attribute 22 name,Attribute 22 value(s),Attribute 22 visible,Attribute 22 global,Attribute 23 name,Attribute 23 value(s),Attribute 23 visible,Attribute 23 global,Attribute 24 name,Attribute 24 value(s),Attribute 24 visible,Attribute 24 global,Attribute 25 name,Attribute 25 value(s),Attribute 25 visible,Attribute 25 global
,simple,U0090009,EMERALD,1,0,visible,Description of product....,Description of product....,,,taxable,,1,,0,0,,,,,1,,,0,Uncategorized,,,,,,,,,,,,,Carat,0.7,1,1,Color,E,1,1,Purity,VS2,1,1,Rap,4400,1,1,Rate,2288,1,1,Remarks,7271666084,1,1,Length,5.79,1,1,Width,4.36,1,1,Total Depth Percentage,68.8,1,1,Table Percent,66,1,1,Polish,EX,1,1,Symmetry,VG,1,1,Flscent,NONE,1,1,Gridle,THK to VTK,1,1,Total Depth,3,1,1,Culet,N,1,1,Black Inclusion,CPP,1,1,Milky,NO,1,1,Key to symbol,"Cloud, Crystal, Feather",1,1,Reciept,Single_stone,1,1,Ratio,1.33,1,1,Eye Clean,YES,1,1,Brown,NB,1,1,Stone ID,U0090009,1,1,Cut,UND,1,1
,simple,T0900174,EMERALD,1,0,visible,Description of product....,Description of product....,,,taxable,,1,,0,0,,,,,1,,,0,Uncategorized,,,,,,,,,,,,,Carat,0.71,1,1,Color,G,1,1,Purity,VS2,1,1,Rap,3900,1,1,Rate,2028,1,1,Remarks,3275483324,1,1,Length,5.73,1,1,Width,4.45,1,1,Total Depth Percentage,68.5,1,1,Table Percent,64,1,1,Polish,EX,1,1,Symmetry,EX,1,1,Flscent,NONE,1,1,Gridle,THK to VTK,1,1,Total Depth,3.05,1,1,Culet,N,1,1,Black Inclusion,CSPP,1,1,Milky,NO,1,1,Key to symbol,"Feather, Crystal, Cloud",1,1,Reciept,Single_stone,1,1,Ratio,1.29,1,1,Eye Clean,YES,1,1,Brown,NB,1,1,Stone ID,T0900174,1,1,Cut,UND,1,1
,simple,U0330081,EMERALD,1,0,visible,Description of product....,Description of product....,,,taxable,,1,,0,0,,,,,1,,,0,Uncategorized,,,,,,,,,,,,,Carat,0.72,1,1,Color,G,1,1,Purity,VS2,1,1,Rap,3900,1,1,Rate,2067,1,1,Remarks,2286245096,1,1,Length,5.79,1,1,Width,4.5,1,1,Total Depth Percentage,67.7,1,1,Table Percent,66,1,1,Polish,EX,1,1,Symmetry,VG,1,1,Flscent,NONE,1,1,Gridle,STK to THK,1,1,Total Depth,3.05,1,1,Culet,N,1,1,Black Inclusion,NN,1,1,Milky,NO,1,1,Key to symbol,Feather,1,1,Reciept,Single_stone,1,1,Ratio,1.29,1,1,Eye Clean,YES,1,1,Brown,NB,1,1,Stone ID,U0330081,1,1,Cut,UND,1,1
,simple,T0820034,EMERALD,1,0,visible,Description of product....,Description of product....,,,taxable,,1,,0,0,,,,,1,,,0,Uncategorized,,,,,,,,,,,,,Carat,0.9,1,1,Color,F,1,1,Purity,VVS1,1,1,Rap,6100,1,1,Rate,3172,1,1,Remarks,7271084581,1,1,Length,6.23,1,1,Width,4.84,1,1,Total Depth Percentage,68.1,1,1,Table Percent,66,1,1,Polish,VG,1,1,Symmetry,VG,1,1,Flscent,NONE,1,1,Gridle,THK,1,1,Total Depth,3.29,1,1,Culet,N,1,1,Black Inclusion,NN,1,1,Milky,NO,1,1,Key to symbol,"Pinpoint, Feather",1,1,Reciept,Single_stone,1,1,Ratio,1.29,1,1,Eye Clean,,1,1,Brown,NB,1,1,Stone ID,T0820034,1,1,Cut,UND,1,1
,simple,M00R0573,MARQUISE,1,0,visible,Description of product....,Description of product....,,,taxable,,1,,0,0,,,,,1,,,0,Uncategorized,,,,,,,,,,,,,Carat,0.6,1,1,Color,E,1,1,Purity,SI1,1,1,Rap,2500,1,1,Rate,1725,1,1,Remarks,2274609668,1,1,Length,7.94,1,1,Width,4.51,1,1,Total Depth Percentage,64.1,1,1,Table Percent,55,1,1,Polish,EX,1,1,Symmetry,VG,1,1,Flscent,NONE,1,1,Gridle,VTK to ETK,1,1,Total Depth,2.89,1,1,Culet,N,1,1,Black Inclusion,CSPP,1,1,Milky,NO,1,1,Key to symbol,"Twinning Wisp, Feather",1,1,Reciept,Single_stone,1,1,Ratio,1.76,1,1,Eye Clean,YES,1,1,Brown,NB,1,1,Stone ID,M00R0573,1,1,Cut,UND,1,1
,simple,U0580039,OVAL,1,0,visible,Description of product....,Description of product....,,,taxable,,1,,0,0,,,,,1,,,0,Uncategorized,,,,,,,,,,,,,Carat,0.53,1,1,Color,E,1,1,Purity,SI1,1,1,Rap,2500,1,1,Rate,1675,1,1,Remarks,1287894824,1,1,Length,6.23,1,1,Width,4.64,1,1,Total Depth Percentage,62.9,1,1,Table Percent,61,1,1,Polish,VG,1,1,Symmetry,EX,1,1,Flscent,NONE,1,1,Gridle,MED to THK,1,1,Total Depth,2.92,1,1,Culet,N,1,1,Black Inclusion,SPP,1,1,Milky,NO,1,1,Key to symbol,Twinning Wisp,1,1,Reciept,Single_stone,1,1,Ratio,1.34,1,1,Eye Clean,YES,1,1,Brown,NB,1,1,Stone ID,U0580039,1,1,Cut,UND,1,1
,simple,U0310016,OVAL,1,0,visible,Description of product....,Description of product....,,,taxable,,1,,0,0,,,,,1,,,0,Uncategorized,,,,,,,,,,,,,Carat,0.71,1,1,Color,G,1,1,Purity,SI1,1,1,Rap,3500,1,1,Rate,2275,1,1,Remarks,2287245066,1,1,Length,7.25,1,1,Width,4.95,1,1,Total Depth Percentage,60.8,1,1,Table Percent,61,1,1,Polish,EX,1,1,Symmetry,EX,1,1,Flscent,NONE,1,1,Gridle,STK to VTK,1,1,Total Depth,3.01,1,1,Culet,N,1,1,Black Inclusion,NN,1,1,Milky,NO,1,1,Key to symbol,"Twinning Wisp, Feather",1,1,Reciept,Single_stone,1,1,Ratio,1.46,1,1,Eye Clean,YES,1,1,Brown,NB,1,1,Stone ID,U0310016,1,1,Cut,UND,1,1
,simple,M00R0571,OVAL,1,0,visible,Description of product....,Description of product....,,,taxable,,1,,0,0,,,,,1,,,0,Uncategorized,,,,,,,,,,,,,Carat,0.75,1,1,Color,D,1,1,Purity,SI2,1,1,Rap,3600,1,1,Rate,2232,1,1,Remarks,3275609314,1,1,Length,6.92,1,1,Width,5.2,1,1,Total Depth Percentage,62.6,1,1,Table Percent,57,1,1,Polish,EX,1,1,Symmetry,VG,1,1,Flscent,NONE,1,1,Gridle,STK to THK,1,1,Total Depth,3.26,1,1,Culet,N,1,1,Black Inclusion,CSN,1,1,Milky,NO,1,1,Key to symbol,"Crystal, Feather",1,1,Reciept,Single_stone,1,1,Ratio,1.33,1,1,Eye Clean,YES,1,1,Brown,NB,1,1,Stone ID,M00R0571,1,1,Cut,UND,1,1
,simple,U0020027,OVAL,1,0,visible,Description of product....,Description of product....,,,taxable,,1,,0,0,,,,,1,,,0,Uncategorized,,,,,,,,,,,,,Carat,0.83,1,1,Color,E,1,1,Purity,SI1,1,1,Rap,4100,1,1,Rate,2952,1,1,Remarks,1273512589,1,1,Length,7.25,1,1,Width,5.39,1,1,Total Depth Percentage,62.5,1,1,Table Percent,59,1,1,Polish,EX,1,1,Symmetry,EX,1,1,Flscent,NONE,1,1,Gridle,MED to THK,1,1,Total Depth,3.37,1,1,Culet,N,1,1,Black Inclusion,NN,1,1,Milky,NO,1,1,Key to symbol,"Cloud, Crystal",1,1,Reciept,Single_stone,1,1,Ratio,1.35,1,1,Eye Clean,YES,1,1,Brown,NB,1,1,Stone ID,U0020027,1,1,Cut,UND,1,1
,simple,U0230019,OVAL,1,0,visible,Description of product....,Description of product....,,,taxable,,1,,0,0,,,,,1,,,0,Uncategorized,,,,,,,,,,,,,Carat,0.9,1,1,Color,D,1,1,Purity,VS2,1,1,Rap,5800,1,1,Rate,3596,1,1,Remarks,5192290187,1,1,Length,7.71,1,1,Width,5.48,1,1,Total Depth Percentage,63.1,1,1,Table Percent,56,1,1,Polish,EX,1,1,Symmetry,VG,1,1,Flscent,NONE,1,1,Gridle,MED to THK,1,1,Total Depth,3.46,1,1,Culet,N,1,1,Black Inclusion,SPP,1,1,Milky,NO,1,1,Key to symbol,Crystal,1,1,Reciept,Single_stone,1,1,Ratio,1.41,1,1,Eye Clean,YES,1,1,Brown,NB,1,1,Stone ID,U0230019,1,1,Cut,UND,1,1
